"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
06007002400,06,007,002400,76.7,2.0742,3
06007002500,06,007,002500,76,1.4751,3
06007002601,06,007,002601,79.4,2.0284,3
06007002602,06,007,002602,78.8,1.8379,3
06007002700,06,007,002700,75.2,1.1376,1
06007002800,06,007,002800,70.3,1.4073,3
06007002900,06,007,002900,71.7,2.1475,3
06007003001,06,007,003001,73,2.5326,1
06007003002,06,007,003002,72.9,3.2583,3
06007003100,06,007,003100,76.4,1.0721,3
06007003200,06,007,003200,75.8,1.8516,3
06007003300,06,007,003300,79.8,1.9066,3
06007003400,06,007,003400,76.5,1.809,3
06007003501,06,007,003501,76.9,1.1899,3
06007003502,06,007,003502,77.2,1.5217,3
06007003600,06,007,003600,81.2,2.3614,3
06007003700,06,007,003700,74.5,1.6111,3
06009000120,06,009,000120,79.5,1.3742,2
06009000121,06,009,000121,78.8,1.3741,3
06009000122,06,009,000122,86.6,2.3044,3
06009000210,06,009,000210,84.9,2.9776,3
06009000220,06,009,000220,79.1,1.5965,3
06009000300,06,009,000300,75.7,1.2466,3
06009000400,06,009,000400,78.8,1.3959,2
06009000501,06,009,000501,80,1.0979,2
06009000503,06,009,000503,84.1,2.7545,3
06011000100,06,011,000100,80.7,1.4671,3
06011000200,06,011,000200,77.9,0.9855,3
06011000300,06,011,000300,82.6,1.6565,1
06011000400,06,011,000400,83.9,2.2362,3
06011000500,06,011,000500,76,1.9466,3
06013301000,06,013,301000,78.3,1.1457,2
06013302005,06,013,302005,77.9,2.2286,3
06013302006,06,013,302006,78.8,2.2962,3
06013302007,06,013,302007,75.6,1.1443,3
06013302008,06,013,302008,84.4,3.2073,3
06013302009,06,013,302009,76.3,1.3149,3
06013302010,06,013,302010,80.9,2.2389,3
06013303102,06,013,303102,83.7,3.5146,3
06013303103,06,013,303103,81,1.234,2
06013303201,06,013,303201,80.3,1.2826,3
06013303202,06,013,303202,79.5,1.3926,3
06013303203,06,013,303203,82.5,1.4468,3
06013303204,06,013,303204,79.9,1.5139,3
06013303205,06,013,303205,83.6,1.7687,3
06013304002,06,013,304002,77.8,1.9765,2
06013304003,06,013,304003,81.2,1.4733,3
06013304005,06,013,304005,81,1.8948,2
06013305000,06,013,305000,72.9,1.231,3
06013306002,06,013,306002,79.2,2.0457,3
06013306003,06,013,306003,73.8,1.3469,3
06013306004,06,013,306004,73.6,1.4173,3
06013307101,06,013,307101,79.8,2.5548,3
06013307102,06,013,307102,76.1,1.4933,1
06013307201,06,013,307201,75.9,1.1537,2
06013307202,06,013,307202,71.8,2.6798,3
06013307204,06,013,307204,75.5,1.5825,3
06013307205,06,013,307205,78.7,1.1412,2
06013308001,06,013,308001,78.3,1.547,3
